date,open,high,low,close,vol,per,pbr
2009-09-16,"370,912","384,041","369,599","373,538","66,468",3759,557
2009-09-17,"376,820","386,667","374,851","386,011","103,958",3884,576
2009-09-18,"388,637","388,637","378,133","382,728","84,693",3851,571
2009-09-21,"386,011","387,324","380,759","385,354","33,597",3877,575
2009-09-22,"385,354","389,293","380,103","381,416","65,654",3838,569
2009-09-23,"379,446","382,728","376,164","377,477","52,156",3798,563
2009-09-24,"380,103","380,103","373,538","376,164","42,985",3785,561
2009-09-25,"378,133","378,133","370,255","374,194","37,110",3765,558
2009-09-28,"370,255","372,881","365,660","368,942","55,451",3712,550
2009-09-29,"368,942","386,667","368,942","386,667","103,157",3891,577
2009-09-30,"387,324","398,484","382,728","390,606","154,217",3930,582
2009-10-01,"392,576","395,202","380,759","387,980","83,956",3904,579
2009-10-05,"382,728","387,324","378,133","382,072","93,709",3844,570
2009-10-06,"385,354","385,354","357,782","366,316","153,382",3686,546
2009-10-07,"363,034","370,912","361,065","365,003","68,328",3673,544
2009-10-08,"366,316","371,568","355,156","356,469","158,017",3587,532
2009-10-09,"360,408","363,034","355,813","359,752","109,577",3620,536
2009-10-12,"360,408","364,347","359,095","361,721","52,597",3640,539
2009-10-13,"361,721","370,255","358,439","365,003","70,553",3673,544
2009-10-14,"363,691","366,316","358,439","359,752","70,529",3620,536
2009-10-15,"359,095","361,721","348,591","351,874","158,727",3541,525
2009-10-16,"350,561","354,500","349,904","351,217","104,533",3534,524
2009-10-19,"350,561","351,217","340,057","343,340","116,581",3455,512
2009-10-20,"344,653","354,500","344,653","353,187","125,202",3554,527
2009-10-21,"353,187","355,156","346,622","352,530","55,728",3547,526
2009-10-22,"348,591","351,874","343,340","347,935","100,459",3501,519
2009-10-23,"347,935","352,530","345,966","346,622","67,761",3488,517
2009-10-26,"347,935","359,752","344,653","357,782","73,986",3600,534
2009-10-27,"356,469","361,065","354,500","355,813","67,759",3580,531
2009-10-28,"355,156","356,469","347,278","349,904","71,766",3521,522
